No.,"상위분류(왼쪽 상위 메뉴명 혹은 E2B 메뉴(CI, RP 등)",하위분류(하위 메뉴명/기능 혹은 E2B Elements),PV Comments,Updated date of PV Comments,개발자 Comments,Updated date of 개발자 Comments,Updated?
15,CASE,"Case 생성>Review, WF","PV Comments about 2026-02-25
1. INFO의 Receiver 불러오는 기능 작동하지 않음.
2. WF는 ""WF"" 시트 참고하여 수정.",2026-04-02,,,
16,CASE,Case XML Export,"1. 1개의 사례 Export 되는것은 확인하였으며, DB 검증 후 맞게 출력되는 것일지 재확인 필요
2. 여러 사례 동시 출력 가능하도록 수정 필요",2026-02-25,"완료: 단일 case export는 validation 후 다운로드되도록 유지했고, 다건 선택 export용 bulk XML ZIP endpoint도 추가했습니다.
미완료: 없음.",,
16,CASE,Case XML Export,"PV Comments about 2026-02-25
Export 기능 작동하는 것이 맞는지 재확인",2026-04-02,,,
17,INFO,General/Common,"1. 상단의 회색 문구 수정 요망 (Manage reusable templates for sender, receiver, product, reporter, study, and narrative data. Import templates directly into case forms. -> Manage information for sender, receiver, product, reporter, study, and narrative template.) 
2. Add template와 Create your first template 기능에 무슨 차이가 있는지? 차이가 없다면 create~ 는 삭제
3. 필수항목 표시는 Case 생성 탭과 일관되게 반영 (항목평 좌측에 빨간색 * 표시) 
4. 제목의 Pre-saved templates 표현도 삭제 또는 맥락에 맞게 수정
5. Notation란은 해당 항목의 하위 항목임을 명확히 인지할 수 있도록 배치 조정 
6. 전체적으로 Template name, Description 삭제 
7. 등록된 정보는 numbering하여 행 형식(Line-listing 형식)으로 보여지도록 설정 
8. Table Header 설정하여 화면에서 보이도록 설정 및 항목별 필터 설정 가능하게 수정 필요
9. Delete 체크 박스를 버튼 형식으로 수정",2026-02-25,"완료: INFO wording을 Record 중심으로 정리했고, shared dialog header를 Record Name + Comments로 축소했습니다. 목록도 No./Name/Linked Summary/Comments/Updated/Default/Actions 테이블로 정리했고, search 외에 Updated date와 Sender default filter도 추가했습니다. button-style delete도 유지했습니다.
미완료: 모든 INFO entity form의 required marker/notation 배치를 case form과 완전히 동일한 패턴으로 100% 통일하지는 못했습니다.",,
17,INFO,General/Common,"PV Comments about 2026-02-25
1. 반영 확인
2. 삭제되고 Record로 추가한 것 확인
3. 반영 확인 
4. 반영 확인
5. 반영 확인
6. 반영 확인
7. 반영 확인
8. Table Header 에서 항목별 필터 설정 가능하게 수정 필요
9. Delete 체크 박스를 버튼 확인하였으나, 삭제 시 표시 없이 삭제됨. (취소선으로 삭제 정보 표시 필요)
[요청사항: 1) No3의 6번과 동일하게 행 클릭으로 해당 정보 조회 및 편집 가능하도록 수정,
2) No6의 13번 Audit trail과 동일하게 항목별로 Audit trail 확인 가능하도록 수정]",2026-04-02,,,
18,INFO,Sender,"Add Template -> Add Sender로 수정(해당 페이지 내 모든 항목), 등록된 Sender 정보가 organization(client) 정보와 연동되어야 함. 즉, user 접근 권한 부여, case processing, submission 등 전체적인 업무가 Sender 별로 진행되어야 함. (상위 분류 General 항목의 2번 참조)",2026-02-25,"완료: Add Sender Record 중심 wording으로 정리했고, sender master에 Linked Client / Organization Name, Organization Category(QVIS/Client)를 추가했습니다. select-organization, ADMIN 사용자 organization 결정, submission sender 흐름도 sender linkage를 우선 사용하도록 연결했습니다.
미완료: sender를 기준으로 한 전체 업무 권한 모델을 backend 수준에서 새로 재설계한 것은 아닙니다. 현재는 sender를 운영상 source of truth로 재사용하는 수준입니다.",,
18,INFO,Sender,"PV Comments about 2026-02-25
No 1 정보 및 ""권한"" 시트의 내용 기준 재확인 필요

[참고: Dafualt 항목이 어떤 부분일지?]",2026-04-02,,,
19,INFO,Study,"1. Product는 등록된 정보에서 가져오도록 설정
2. MFDS, FDA regional element 반영
- MFDS: study number -> study  no, protocol no 선택 하도록, Other Studies Type (C.5.4.KR.1) 추가 
- FDA: IND Number where AE Occurred (FDA.C.5.5a), Pre-ANDA Number where AE Occurred (FDA.C.5.5b), FDA.C.5.6.r - IND number of cross reported IND 등 추가 
3. EDC sync 기능이 가용하지 않으므로 삭제",2026-02-25,"완료: Product master에 MFDS Study No./Protocol No./Other Studies Type, FDA C.5.5a/C.5.5b/C.5.6.r를 추가했고, Product record를 DG import source로 활용하도록 유지했습니다. Study 화면에서는 deleted checkbox와 EDC Sync를 제거했습니다.
미완료: Product master의 regional fields를 CASE 전역의 관련 study/drug field에 자동 매핑하는 범위는 아직 제한적입니다.",,
19,INFO,Study,"PV Comments about 2026-02-25
1. 미반영으로 반영 필요하며, 복수 선택 가능하도록 반영
2. 미반영. MFDS: Sponsor Study Number (C.5.3) 항목에서 study  no, protocol no 선택하여 입력하도록 수정. Other Studies Type (C.5.4.KR.1) 추가 
FDA: IND Number where AE Occurred (FDA.C.5.5a), Pre-ANDA Number where AE Occurred (FDA.C.5.5b), FDA.C.5.6.r - IND number of cross reported IND 등 추가 
3. 반영 확인

[참고: 반복 가능 항목 Study Registration (repeat as necessary) (C.5.1.r) 반영 필요 ]",2026-04-02,,,
20,INFO,Narrative,"Narrative template 활용 가능하도록 개발된 것이 맞는지? 참고로, cubeSAFETY에서는 다음과 같이 Element ID를 이용하여 Narrative template를 입력하도록 되어 있음.",2026-02-25,"완료: Narrative INFO를 free-text만 저장하던 구조에서 Case Narrative, Case Summary, Sender Comments, Reporter Comments, Sender Diagnoses(H.3.r)까지 저장하는 구조로 확장했고, Section H import도 이 structured fields를 반영합니다.
미완료: cubeSAFETY 수준의 전체 element-ID composer를 완전히 재현한 것은 아닙니다.",,
20,INFO,Narrative,"PV Comments about 2026-02-25
Additional Narrative Fields 이하 부분은 삭제, element 기준 NR Auto 작성하는 것은 추후 구현 예정인 것으로 확인",2026-04-02,,,
21,DATA,General/Common,"1. This section will include MedDRA terminology search, WHODrug lookups, country code lists, and E2B(R3) code list management. 
-> 일반 User에게는 불필요한 기능임. System Admin만 확인할 수 있도록 접근권한 설정할 것
2. Admin 권한도 System 관리자로서의 Admin 과 User의 Admin 역할 구분이 필요하며 User의 Admin 권한은 메뉴의 ADMIN 페이지에서 관리할 수 있도록 수정 필요",2026-02-25,"완료: DATA 메뉴와 /dashboard/data를 adb_admin 전용으로 제한했고, 일반 admin/user는 redirect되도록 했습니다. terminology release/import/approve/activate/rollback backend endpoint도 adb_admin 전용으로 제한했습니다. ADMIN 메뉴는 user-admin과 system-admin이 구분되도록 유지했습니다.
미완료: case form에서 사용하는 MedDRA/WHODrug/country lookup read endpoint는 일반 업무에 필요해서 system-admin 전용으로 막지는 않았습니다.",,
21,DATA,General/Common,"PV Comments about 2026-02-25
No 1 의견 및 ""권한"" 시트의 의견 반영 필요",2026-04-02,,,
22,IMPORT,"XML Import 기능
","1. Import E2BR3 XML files -> E2B(R3)로 수정
2. Supports E2BR3 (ICH) XML format -> ICH E2B(R3)로 수정
3. ICH 기준이 아닌 MFDS, FDA 항목이 포함된 XML도 import 가능해야 하며, regional elements가 적절히 저장되어야 하므로, Import 시점에 XML format을 선택하는 기능 필요함.
4. Import history 확인할 수 있도록 탭 추가 (no, case no, file name, status, error(에러 시 사유 확인), import date/time, user 등)
5. XML의 경우 파일 첨부, batch report 가능하므로 최대 용량을 10MB로 설정할 경우 import 불가한 상황이 발생할 수 있으므로, 최대 용량 상향 조정 요망 
6. zip 파일로도 import 가능해야 함.",2026-02-25,"완료: E2B(R3) wording 정리, profile 선택, .zip import, import history 탭, 10MB 상향, regional XML import 흐름까지 반영했습니다.
미완료: 없음.",,
22,IMPORT,XML Import 기능,"PV Comments about 2026-02-25
1. 반영 확인
2. 반영 확인
3. xml 파일에서 자동 확인하여 regional xml에 따라 Import 하는 것 확인.
4. history 추가된 것 확인하였으며, Error는 텍스트 파일로 받아서 확인하는 것으로 수정
[참고: Import Date/Time은 해당 파일을 Import한 시점이 표시되어야 하는데, 현재 Invalid date라고 기재되어 있음, 어떤 데이터가 표시되는 것인지 확인 필요]
5. NA
6. zip 파일 첨부 가능 확인",2026-04-02,,,
23,SUB,General/Common,"1. Sub -> Export/Submission으로 수정 (해당 기능을 직관적으로 알 수 있도록) 혹은 Export와 submission 시 선택 항목과 그 결과로 확인해야 하는 정보가 상이하므로 메뉴에서 각 기능을 분리해 주기를 요망 (예를 들면 submission의 경우 batch 결과와 message 결과가 각각 제시되어야 함)
2. Table heading에서 patient, severity 정보 불필요함. Date of creation, WW unique ID, product, Event 등의 정보를 포함할 것
3. Export, Submission history 페이지 추가
- Export;  no, case no, file name, status, error(에러 시 사유 확인),  export date/time, user 등
- Submission: batch 결과와 Message 결과가 각각 확인되어야 함.
 *batch 결과: no, receiver, batch no, batch status, ACK 다운로드, ICSR 건수, Submission date, Acknowledged date, Data file, Error, User 등
 *message 결과: no, no, receiver, batch no, case no, date of creation, batch status, message status, Submission date, Acknowledged date 등",2026-02-25,"완료: SUB를 Export / Submission으로 정리했고, Export / Submit / Export History / Submission History 구조를 만들었습니다. Queue에는 Date of Creation, Product ID, Report Year, Source Document, Profile/Appendices를 추가했고, Submission History는 Batch Results / Message Results view로 나눠서 볼 수 있게 했습니다.
미완료: ACK download, acknowledged date, ICSR count, data file, event 컬럼, 완전히 분리된 message persistence는 아직 없습니다.",,
23,SUB,General/Common,"PV Comments about 2026-02-25
1. 메뉴 수정된 것은 확인하였으나, 아래 사항 확인 혹은 반영 필요.
(1) Selected Cases: ① 각 세부 항목의 목적은 무엇인지? (Export Scope, Submission Scope)
② 직접 Import 한 사례 중 Export XML 기능이 되는게 있고 안되는게 있음. 작동 여부 재확인 필요. (Sender에서 Receiver Information 혹은 Message Header 때문인것 같은데 확인 필요. 저장된 case 정보를 제출 출처에 맞게 MFDS, FDA로 양식으로 출력 필요함)
③ INFO 메뉴에서 Receiver와 본 항목에서의 Receiver는 구분 필요. 
INFO의 Receiver에서 Message Receiver Identifier (N.1.5) 및 Batch Receiver Identifier (N.1.4)는 삭제하고, 본 항목에서 참조할 국가별 Receiver 정보는 별도로 생성하여 참조
(2) Ready for Export / Submission 아래 내용 반영 필요.
① 해당되는 사례 검색 후 사례들 표시되는 것으로 수정 필요.
② 필터 기능 외 검색 기능 추가: 페이지(CI, RP DM 등) 별로 선택 및 하위 필드(
Sender's (case) Safety Report Unique Identifier(C.1.1) 등) 선택, 조건(일치, 불일치, 범위 등) 선택, 값 선택 하여 검색되도록 수정 
2. Table head를 Date of creation, WW unique ID, product, Event 로 수정 (Event (E.i.2.1b) 값이 여러개인 경우, 각 값 및 /로 구분하여 표시) 로 수정
3. (1) Export Error 시 에러 창 및 진행되지 않고 Export history에 표시되지 않음. Error 시 No 22번의 4번과 동일하게 Text 파일로 다운로드 필요함.
(2) Submission history 상세 사항은 아직 확인 불가",2026-04-02,,,
24,SUB,Export,"1. Export XML -> XML format, Receiver 선택 기능 필요함.
2. Excel LL 추출 기능 개발 필요함. 
3. export, submission하고자 하는 case 필터링 기능 필요함. (예 Sender, Case no, Lock 여부, Ack Accept 여부, Workflow status, QC status 등) ",2026-02-25,"완료: XML Format / Authority 선택과 Sender/Receiver presave selector를 두었고, export 직전에 그 값을 case sender/receiver/message header에 반영하도록 연결했습니다. Queue filter도 case no/status/profile/appendix/export eligibility 외에 Product ID, Report Year, Source Document까지 확장했습니다.
미완료: Sender/ACK accept/lock 여부 등 전체 요청 filter 세트와 Excel LL export는 아직 미구현입니다.",,
24,SUB,Export,"PV Comments about 2026-02-25
1. 추가된 것 확인하였으며, No 23 번의 1번 부분 재확인 필요
2. 아직 구현되지 않은점 확인하였으며, 추가 필요.
3. 필터링은 간단한 필터 기능(예 Sender, Case no, QC Status(Review, Lock 여부)만으로 수정, Ack Accept 여부, Workflow status). 세부 Case는 No 23 번 의견에 따라 검색하여 선별",2026-04-02,,,
25,SUB,Submission ,"1. Sender, Receiver 정보 선택 기능 필요함. 
2. Receiver의 경우 국가별 Batch receiver identifier (N.1.4), Message receiver identifier(N.2.r.3)가 사전에 설정되어 있어야 하고, Report type에 따라 해당 identifier를 선택하여 보고하도록 설정해야 함. ",2026-02-25,"완료: Submission 화면에서 Sender/Receiver presave template 선택이 가능하고, export/direct submission 전에 sender/receiver 정보와 message header(batch/message sender/receiver identifier)를 case에 적용합니다. Receiver template에는 authority+report type별 routing rule(N.1.4, N.2.r.3)을 저장하고, case의 report type에 맞는 identifier를 선택하도록 구현했습니다.
미완료: 잘못된 receiver-rule 조합을 사전에 막는 더 강한 validation/policy layer는 아직 없습니다.",,
25,SUB,Submission ,"PV Comments about 2026-02-25
1. Sender는 반영 확인
2. 23번 1번 의견 참고하여 확인",2026-04-02,,,
26,ADMIN,Management>General,"1. Safety Database 내 Role 생성 기능 및 Role 별로 항목에 따른 Veiw, Review, Lock 설정 권한 부여 가능하도록 페이지 추가 필요 (Role setting, Role & Privilege 항목 필요(cubeSAFETY 참고)
- 다음 Role 생성 요청: PVM, PVS, Head of PV, Sponsor, ADB admin 
- Roles & Privilege 내 접근권한 종류 목록은 각 페이지/기능 확정 후 작성 필요함
2. Settings 페이지 추가 필요 (cubeSAFETY 참고)
- Time Zone, MedDRA language, Appendix, Case Identification Number Setting, (구현될 경우) Workflow configuration",2026-02-25,"완료: Roles & Privileges, Settings, custom role, 실제 assign 가능한 role, runtime permission 반영까지 구현했습니다.
미완료: 없음.",,
26,ADMIN,Management>General,"PV Comments about 2026-02-25
1. 각각 적용된 사항 재확인 필요.
(1) Create Custom Role 에서 role_name과 Display_name이 있는데 의미 확인 필요. 특이 사항이 없다면 role_name랑 표시된 이름 동일하게 하고, Display name 대신 Description 추가
(2) Role Setting과, Role & Privilege의 차이가 무엇인지? 추가된 Role 이 Role & Privilege에서만 확인됨. 
(3) Create Custom Role 에서 Veiw, Edit, Review 체크, Lock 체크 권한을 주는 것이 아니며, Role & Privilege 항목(혹은 수정되는 다른 메뉴)에서 새롭게 추가된 Role에 대한 메뉴별(CASE 페이지, INFO 페이지 등)에 따라 각각 해당되는 권한(Read, Edit, Review 체크, Lock 체크 권한) 설정 필요)
(4) 추가된 Role에 대한 수정 기능 필요
2. ""WF"" 시트 참고하여 수정 필요
[요청사항: 1) No3의 6번과 동일하게 행 클릭으로 해당 정보 조회 및 편집 가능하도록 수정,
2) No6의 13번 Audit trail과 동일하게 항목별로 Audit trail 확인 가능하도록 수정]",2026-04-02,,,
27,ADMIN,Management>Create User,"1. User name 항목이 별도로 필요하지 않다면 삭제 (Email 정보로 User ID를 대신할 수 있음)
2. Organization은 QVIS 및 Client로 나누고 Client는 Sender 목록에서 선택하도록 설정 
3. Comments 혹은 Other information란 추가, Start/End date 추가 (해당 날짜에 따라 접근권한 부여, 차단되어야 함), 접근 대상 sender, product, study 정보 선택 기능 추가 
4. 현재 시점 Create user 클릭 시 에러 발생하여 저장되지 않음. ",2026-02-25,"완료: username 제거, QVIS/Client organization 분리, sender/product/study scope, access start/end, comments/other information, create user 저장 오류 수정까지 반영했습니다.
미완료: 없음.",,
27,ADMIN,Management>Create User,"PV Comments about 2026-02-25
1. 반영 확인
2. 권한 구조와 관련하여 재확인 필요 (CRO, Client 및 이하 권한 부여 구조)
3. 반영된 것 확인하였으며, 아래 참고하여 수정 필요
(1) Other information 삭제 (Comments 만 유지)
(2) Start/End date 입력시 현재 계정 생성되지 않음. 오류 수정 필요
4. Uesr 생성 및 수정과 관련하여 전반적인 오류 점검
(1) 현재 등록 후 수정 시 권한 재설정 및 유저 삭제 불가
(2) 수정 항목에서 sender, product, study 정보 수정 불가
(3) blind 해당 여부 추가 필요
(4) Admin 권한은 한명만 설정되게 수정 필요
[요청사항: Sender, Product, Study가 많아지는 경우 가독성이 떨어질 것으로 예상되어, Drop down/별도 팝업창에서 체크 하는 방식 등 다른 방식 고려 필요]",2026-04-02,,,
28,ADMIN,Management>User ,"1. 위에 언급한 항목을 포함하여 table headings 수정 (Organization 정보 필수)
2. INFO 페이지의 각 하위 페이지에 요청한 것과 같은 방식으로 User 목록 확인하도록 수정
3. User 추가는 INFO 페이지에서 입력하는 방식과 동일한 방식으로 수정 필요",2026-02-25,"완료: User table heading을 확장했고, INFO 스타일의 Add User/list 흐름으로 정리했습니다.
미완료: 없음.",,
28,ADMIN,Management>User ,"PV Comments about 2026-02-25
1. 반영 확인
[문의: Access Window은 어떤 항목인지?]
2. 다른 부분의 필터 기능 의견과 동일하게 Table Header에서 필터 가능하게 수정
3. No 27 번 의견 참조",2026-04-02,,,
29,ADMIN,Management>Organizations,Sender 탭에 입력한 정보로 관리하면 되므로 별도의 organization 등록 기능 불필요함. ,2026-02-25,"완료: 별도 Organizations CRUD를 제거하고 sender 기준 organization 관리로 정리했습니다.
미완료: 없음.",,
29,ADMIN,Management>Organizations,"PV Comments about 2026-02-25
Sender 기준 Organization 정리된 것은 확인하였으나, 현재 항목이 유지되어 있음. 삭제 필요",2026-04-02,,,
30,ADMIN,Audit Logs,Audit trail 페이지를 별도로 두기 보다는 각 항목에서 audit trail을 직접 확인할 수 있도록 설정 요망(cubeSAFETY 참고),2026-02-25,"완료: 별도 Audit Logs 탭을 없애고 각 관리 화면에서 직접 audit trail을 보도록 바꿨습니다.
미완료: 없음.",,
30,ADMIN,Audit Logs,"PV Comments about 2026-02-25
해당 의견은 Case 내에서 `…` 항목으로 Audit trail 표시한 것 처럼 수정하는 것을 의미하였으며 cubeSAFETY 방식 참고",2026-04-02,,,
